,gene_name,tpm
0,0610005C13Rik,1.387702
1,0610006L08Rik,0.0
2,0610009B22Rik,36.9902
3,0610009E02Rik,0.767235
4,0610009L18Rik,3.341593
5,0610010K14Rik,22.884082
6,0610012D04Rik,0.189066
7,0610012G03Rik,40.9397
8,0610025J13Rik,0.0
9,0610030E20Rik,15.7206
10,0610031O16Rik,0.0999645
11,0610033M10Rik,0.0
12,0610038B21Rik,3.340818
13,0610039K10Rik,0.073921
14,0610040B10Rik,4.392089
15,0610040F04Rik,0.0
16,0610040J01Rik,0.319175
17,0610043K17Rik,0.0
18,0710001A04Rik,0.0
19,1010001B22Rik,1.22745
20,1100001I12Rik,0.248615
21,1110002E22Rik,0.0
22,1110002J07Rik,5.87557
23,1110002L01Rik,23.449958000000002
24,1110002O04Rik,0.0
25,1110004F10Rik,88.293509
26,1110006O24Rik,2.78132
27,1110008E08Rik,0.0
28,1110013H19Rik,0.498447
29,1110015O18Rik,0.0
30,1110017D15Rik,0.2142557
31,1110018N20Rik,0.0
32,1110019B22Rik,0.0700713
33,1110019D14Rik,4.870335
34,1110020A21Rik,0.6393036
35,1110025L11Rik,0.0
36,1110028F11Rik,0.0
37,1110028F18Rik,0.0472005
38,1110032A03Rik,8.12802
39,1110032F04Rik,0.0
40,1110035H17Rik,0.306748
41,1110038B12Rik,216.426076838226
42,1110038F14Rik,22.223365
43,1110046J04Rik,5.02592
44,1110057P08Rik,0.0
45,1110059E24Rik,11.62401
46,1110059G10Rik,10.801187
47,1110065P20Rik,22.744746
48,1190001M18Rik,0.101054
49,1190005I06Rik,11.6565
50,1190007I07Rik,33.64345
51,1190028D05Rik,0.0
52,1200007C13Rik,0.0
53,1300002E11Rik,4.1758240158729
54,1300014J16Rik,0.140648
55,1500002C15Rik,1.33411
56,1500002F19Rik,0.113256
57,1500004A13Rik,11.1045321
58,1500009L16Rik,0.0
59,1500011B03Rik,32.76432
60,1500012K07Rik,0.12222
61,1500015A07Rik,2.58866
62,1500015L24Rik,0.0650254
63,1500026H17Rik,0.32838
64,1500032F14Rik,0.255662
65,1500035N22Rik,0.24975
66,1520401A03Rik,0.1389338
67,1600002D24Rik,0.101715
68,1600010M07Rik,5.8565209
69,1600012H06Rik,17.208334
70,1600012P17Rik,0.0
71,1600014C10Rik,15.634446700000002
72,1600014C23Rik,1.588786
73,1600019K03Rik,0.0
74,1600020E01Rik,3.2781458
75,1600022D10Rik,0.0783461
76,1600025M17Rik,0.358527
77,1600027J07Rik,0.0
78,1700001C19Rik,0.0
79,1700001D01Rik,0.0
80,1700001F09Rik,0.0
81,1700001G01Rik,0.0
82,1700001G11Rik,1.098855
83,1700001J03Rik,0.222767
84,1700001J04Rik,0.0
85,1700001K19Rik,0.514583
86,1700001K23Rik,1.2002869999999999
87,1700001L05Rik,1.009425
88,1700001L19Rik,0.0
89,1700001N15Rik,0.0
90,1700001O22Rik,0.0660696
91,1700001P01Rik,0.140783
92,1700003C15Rik,0.0
93,1700003D09Rik,0.0
94,1700003E16Rik,0.347573
95,1700003E24Rik,0.0
